Bundesland,Anzahl,Differenz_Vortag,Erkr_p_100k_Einw,Todesfaelle,Bes_betroffene,date
Baden-Württem­berg,3668,922,33,16,,2020-03-21
Bayern,2960,559,23,19,,2020-03-21
Berlin,866,135,23,1,,2020-03-21
Brandenburg,254,62,10,0,,2020-03-21
Bremen,142,21,21,0,,2020-03-21
Hamburg,587,1,32,0,,2020-03-21
Hessen,1080,267,17,2,,2020-03-21
Mecklenburg-Vor­pommern,165,34,10,0,,2020-03-21
Niedersachsen,1023,220,13,0,,2020-03-21
Nordrhein-West­falen,3542,45,20,6,Landkreis Heinsberg,2020-03-21
Rhein­land-Pfalz,938,137,23,1,,2020-03-21
Saarland,187,41,19,0,,2020-03-21
Sachsen,567,173,14,0,,2020-03-21
Sachsen-Anhalt,188,8,9,0,,2020-03-21
Schles­wig-Holstein,308,42,11,1,,2020-03-21
Thüringen,187,38,9,0,,2020-03-21
Gesamt,16662,2705,20,46,,2020-03-21
